Title,URL,Publication Date,Section,publication_date
The Black Sea is a crucial theater in the war between Russia and Ukraine.,https://www.nytimes.com/2023/03/14/world/europe/black-sea-russia-ukraine.html,2023-03-14,World,2023-03-14 21:04:53+00:00
A wide range of pro-Ukrainian groups operate in the shadows of the war.,https://www.nytimes.com/2023/03/08/world/europe/russia-ukraine-war-groups.html,2023-03-08,World,2023-03-08 17:42:31+00:00
"Next Phase of War Will Be Pivotal for Russia and Ukraine, U.S. Says",https://www.nytimes.com/2022/04/21/us/politics/russia-ukraine-military-biden.html,2022-04-21,U.S.,2022-04-21 21:24:00+00:00
Turkish President Casts Himself as a Mediator in Russian War on Ukraine,https://www.nytimes.com/video/world/100000008543509/erdogan-turkey-united-nations.html,2022-09-20,World,2022-09-20 17:42:36+00:00
"Living side by side, Ukrainian and Russian sailors are tested by the war.",https://www.nytimes.com/2022/08/03/world/europe/living-side-by-side-ukrainian-and-russian-sailors-are-tested-by-the-war.html,2022-08-03,World,2022-08-03 05:27:04+00:00
The Hunt Is On for ‘War Trophies’ in Ukraine,https://www.nytimes.com/2022/07/28/world/europe/ukraine-war-military-artifacts.html,2022-07-28,World,2022-07-28 04:01:13+00:00
Russia Accuses Dissidents and Ukraine of Killing Pro-War Blogger,https://www.nytimes.com/2023/04/03/world/europe/russia-bombing-ukraine-war.html,2023-04-03,World,2023-04-03 22:10:03+00:00
War in Ukraine Compounds Hunger in East Africa,https://www.nytimes.com/2022/04/01/world/africa/food-crisis-africa-drought-ukraine.html,2022-04-01,World,2022-04-01 14:35:18+00:00
"With Military Attacks and Mockery, Ukraine Pokes the Russian Bear",https://www.nytimes.com/2022/08/26/world/europe/ukraine-russia-taunting.html,2022-08-26,World,2022-08-26 09:00:23+00:00
War in Ukraine Has China Cashing In,https://www.nytimes.com/2023/12/21/business/china-russia-trade.html,2023-12-21,Business Day,2023-12-21 05:00:24+00:00
Ukraine and the Contest of Global Stamina,https://www.nytimes.com/2022/07/09/us/politics/ukraine-strategy-biden.html,2022-07-09,U.S.,2022-07-09 09:00:13+00:00
Leading Russian Tennis Player Criticizes War in Ukraine,https://www.nytimes.com/2022/07/19/sports/daria-kasatkina-interview-russia-ukraine-war.html,2022-07-20,Sports,2022-07-20 00:34:57+00:00
Russian Strikes Hit Ukrainian Cities at a Tense Time for Kyiv,https://www.nytimes.com/2024/02/07/world/europe/russia-ukraine-war-attack.html,2024-02-07,World,2024-02-07 09:05:42+00:00
The War in Ukraine Is the True Culture War,https://www.nytimes.com/2022/07/15/arts/design/ukraine-war-culture-art-history.html,2022-07-15,Arts,2022-07-15 09:00:19+00:00
Will Ukraine Retake Kherson?,https://www.nytimes.com/2022/10/19/briefing/russia-ukraine-war-kherson.html,2022-10-19,Briefing,2022-10-19 20:39:37+00:00
U.N. Inquiry Finds Russia Has Committed War Crimes in Ukraine,https://www.nytimes.com/video/world/europe/100000008548940/ukraine-war-crimes-united-nations.html,2022-09-23,World,2022-09-23 14:25:13+00:00
"Ukraine Agrees to Talks With Russia, but Fighting Still Rages",https://www.nytimes.com/2022/02/27/world/europe/ukraine-war-russia.html,2022-02-27,World,2022-02-27 22:53:55+00:00
America Thinks the War Is About Ukraine. Russia’s Neighbors Disagree.,https://www.nytimes.com/2022/03/25/opinion/nato-russia-poland-europe.html,2022-03-25,Opinion,2022-03-25 05:00:05+00:00
Ukraine Starts New Diplomatic Push to Weaken Russia,https://www.nytimes.com/2023/08/05/world/europe/ukraine-war-saudi-arabia-russia.html,2023-08-05,World,2023-08-05 04:01:16+00:00
"As Russia Claims Victory in Bakhmut, Ukraine Sees Opportunity Amid Ruins",https://www.nytimes.com/2023/05/21/world/europe/russia-bakhmut-battle-ukraine.html,2023-05-21,World,2023-05-21 21:00:06+00:00
"In a first, a Russian soldier will stand trial in Ukraine on war crimes charges.",https://www.nytimes.com/2022/05/11/world/europe/russia-war-crimes-trial-ukraine.html,2022-05-11,World,2022-05-11 20:49:05+00:00
"U.S., Allies Vow to Protect Ukraine’s Infrastructure From Russian Attacks",https://www.nytimes.com/2022/11/04/world/europe/us-g7-russia-ukraine.html,2022-11-04,World,2022-11-04 18:32:43+00:00
"20 Nations to Send New Weapons to Ukraine, U.S. Defense Secretary Says",https://www.nytimes.com/video/us/politics/100000008364069/russia-ukraine-war-weapons-austin.html,2022-05-23,U.S.,2022-05-23 22:43:40+00:00
Russia Pounds Ukrainian Cities in One of the Largest Air Attacks of the War,https://www.nytimes.com/2023/12/29/world/europe/russia-ukraine-missile-attacks.html,2023-12-29,World,2023-12-29 09:52:26+00:00
Surrender to a Drone? Ukraine Is Urging Russian Soldiers to Do Just That.,https://www.nytimes.com/2022/12/20/world/europe/russian-soldier-drone-surrenders.html,2022-12-20,World,2022-12-20 05:01:09+00:00
Ukraine’s Counteroffensive: What to Know,https://www.nytimes.com/article/ukraine-counteroffensive-what-to-know.html,2023-06-14,U.S.,2023-06-14 14:31:13+00:00
Russians Seize 42 Towns in Eastern Ukraine as Fighting Intensifies,https://www.nytimes.com/2022/04/22/world/europe/russia-ukraine-fighting-east.html,2022-04-22,World,2022-04-22 22:30:52+00:00
A Current War Collides With the Past: Remnants of World War II in Ukraine,https://www.nytimes.com/2023/07/18/world/europe/ukraine-world-war-ii.html,2023-07-18,World,2023-07-18 04:01:23+00:00
Russian Men Receive Draft Papers,https://www.nytimes.com/video/world/europe/100000008548051/russia-ukraine-war-conscription-draft.html,2022-09-22,World,2022-09-22 21:36:09+00:00
Ukraine’s Partisans,https://www.nytimes.com/2022/08/17/briefing/russia-ukraine-war-partisans.html,2022-08-17,Briefing,2022-08-17 21:10:49+00:00
Aerial War Over Ukraine Heats Up as Russia Pounds Cities,https://www.nytimes.com/2022/11/08/world/europe/ukraine-russia-iran-missiles.html,2022-11-08,World,2022-11-08 22:20:59+00:00
"Garland, Visiting Ukraine, Names Prosecutor to Investigate Russian War Crimes",https://www.nytimes.com/2022/06/21/world/europe/merrick-garland-ukraine-war-crimes.html,2022-06-21,World,2022-06-21 13:48:29+00:00
Biden Seeks Military Aid for Ukraine,https://www.nytimes.com/2022/04/28/briefing/biden-seeks-military-aid-for-ukraine.html,2022-04-28,Briefing,2022-04-28 21:19:02+00:00
"In Rare Move, Russian Tech Tycoon Condemns War in Ukraine",https://www.nytimes.com/2023/08/10/world/europe/yandex-ukraine-war-arkady-volozh.html,2023-08-10,World,2023-08-10 12:19:58+00:00
Ukraine War Plans Leak Prompts Pentagon Investigation,https://www.nytimes.com/2023/04/06/us/politics/ukraine-war-plan-russia.html,2023-04-06,U.S.,2023-04-06 22:23:23+00:00
"Russia’s Blockade of Ukraine Is ‘War Crime,’ Top E.U. Official Says",https://www.nytimes.com/2022/06/20/world/europe/russia-ukraine-blockade-war-crime.html,2022-06-20,World,2022-06-20 23:49:12+00:00
"Using Adoptions, Russia Turns Ukrainian Children Into Spoils of War",https://www.nytimes.com/2022/10/22/world/europe/ukraine-children-russia-adoptions.html,2022-10-22,World,2022-10-22 04:02:10+00:00
It’s Time to Bring Russia and Ukraine to the Negotiating Table,https://www.nytimes.com/2022/11/02/opinion/russia-ukraine-negotiation.html,2022-11-02,Opinion,2022-11-02 09:00:25+00:00
Russian Unease Over Ukraine War Grows Amid Attacks and Leadership Rifts,https://www.nytimes.com/2023/05/05/world/europe/russia-ukraine-war.html,2023-05-05,World,2023-05-05 21:34:02+00:00
Putin’s War in Ukraine Shatters an Illusion in Russia,https://www.nytimes.com/2022/04/09/world/europe/putin-ukraine-russia.html,2022-04-09,World,2022-04-09 13:00:48+00:00
"A Russian Ballet Star, Opposed to the Ukraine War, Quits the Bolshoi",https://www.nytimes.com/2022/03/16/arts/dance/olga-smirnova-bolshoi-ballet-ukraine-war.html,2022-03-16,Arts,2022-03-16 18:04:16+00:00
Phantom Retreats and Stolen Bones: The War of Deceit in Ukraine,https://www.nytimes.com/2022/11/09/world/europe/ukraine-russia-war-weapons.html,2022-11-09,World,2022-11-09 05:01:10+00:00
"Refuse to cooperate with the Kremlin’s war, Zelensky tells Ukrainians and Russians.",https://www.nytimes.com/2022/04/01/world/europe/zelensky-russian-military-speech-video.html,2022-04-01,World,2022-04-01 23:54:43+00:00
Ukraine Says It Thwarted a Sophisticated Russian Cyberattack on Its Power Grid,https://www.nytimes.com/2022/04/12/us/politics/ukraine-russian-cyberattack.html,2022-04-12,U.S.,2022-04-12 21:11:20+00:00
"6 Months Into War, Ukraine and Russia Are Both Reshaped",https://www.nytimes.com/2022/08/24/world/europe/ukraine-russia-six-months.html,2022-08-24,World,2022-08-24 04:01:08+00:00
I Spent Five Days in a Trench Waiting for Death. It Was Pure Hell.,https://www.nytimes.com/2023/08/10/opinion/ukraine-war-bakhmut.html,2023-08-10,Opinion,2023-08-10 05:00:08+00:00
A Ukrainian commander describes the grueling battle against dug-in Russian forces.,https://www.nytimes.com/2023/07/14/world/europe/ukraine-counteroffensive-russian-fighters.html,2023-07-14,World,2023-07-14 11:24:06+00:00
"As War in Ukraine Grinds On, China Helps Refill Russian Drone Supplies",https://www.nytimes.com/2023/03/21/business/russia-china-drones-ukraine-war.html,2023-03-21,Business Day,2023-03-21 09:00:33+00:00
Ukraine’s Attacks in Russia Aimed at Degrading Moscow’s Ability to Wage War,https://www.nytimes.com/2023/07/31/world/europe/ukraine-russia-drone-strikes.html,2023-07-31,World,2023-07-31 23:00:14+00:00
"Russian Public Appears to Be Souring on War Casualties, Analysis Shows",https://www.nytimes.com/2023/05/26/us/politics/russia-public-opinion-ukraine-war.html,2023-05-26,U.S.,2023-05-26 15:09:52+00:00
Russian Forces Press On With Attacks in Southern Ukraine,https://www.nytimes.com/2024/02/21/world/europe/russia-ukraine-war-robotyne.html,2024-02-21,World,2024-02-21 10:04:21+00:00
Russia and Ukraine Have Incentives to Negotiate. The U.S. Has Other Plans.,https://www.nytimes.com/2023/02/07/opinion/russia-ukraine-us-tanks.html,2023-02-07,Opinion,2023-02-07 10:00:21+00:00
Arming Ukraine,https://www.nytimes.com/2022/04/13/briefing/russia-ukraine-war-weapons-nato-tech.html,2022-04-13,Briefing,2022-04-13 21:02:16+00:00
Ukraine War Comes Home to Russians as Putin Imposes Draft,https://www.nytimes.com/2022/09/22/world/europe/putin-russia-military-ukraine-war.html,2022-09-22,World,2022-09-22 23:11:34+00:00
"Russia Accuses Ukraine of a Murder, and Hawks Demand Vengeance",https://www.nytimes.com/2022/08/22/world/europe/russia-ukraine-daria-dugina.html,2022-08-22,World,2022-08-22 23:00:19+00:00
Teaching Resources to Help Students Make Sense of the War in Ukraine,https://www.nytimes.com/2022/03/16/learning/lesson-plans/teaching-resources-to-help-students-make-sense-of-the-war-in-ukraine.html,2022-03-16,The Learning Network,2022-03-16 23:40:38+00:00
Document the War Crimes in Ukraine,https://www.nytimes.com/2022/04/06/opinion/war-crimes-ukraine-putin.html,2022-04-06,Opinion,2022-04-06 17:30:22+00:00
War Brings Ukraine’s Women New Roles and New Dangers,https://www.nytimes.com/2022/08/27/world/europe/ukraine-war-women.html,2022-08-27,World,2022-08-27 04:01:15+00:00
Ukraine accuses Russia of violating international law by placing Ukrainian children in Russian families.,https://www.nytimes.com/2022/10/28/world/europe/ukraine-accuses-russia-of-violating-international-law-by-placing-ukrainian-children-in-russian-families.html,2022-10-28,World,2022-10-28 11:19:05+00:00
How The Times Has Mapped the War in Ukraine,https://www.nytimes.com/2022/04/20/insider/how-the-times-has-mapped-the-war-in-ukraine.html,2022-04-20,Times Insider,2022-04-20 09:00:25+00:00
Summit Signals How Ukraine War Drives Russian Foreign Policy,https://www.nytimes.com/2023/09/13/world/europe/putin-kim-summit-analysis.html,2023-09-13,World,2023-09-13 07:12:45+00:00
Ukraine Made Big Tech Pick a Side — But Who Are the Losers?,https://www.nytimes.com/2022/03/30/opinion/ukraine-russia-big-tech-the-argument.html,2022-03-30,Opinion,2022-03-30 09:00:11+00:00
"As the war in Ukraine moves into its second month, fears grow of Mariupol’s fall to Russia.",https://www.nytimes.com/2022/03/27/world/europe/russia-ukraine-war-combat.html,2022-03-27,World,2022-03-27 22:08:41+00:00
"Over Ukraine, Lumbering Turkish-Made Drones Are an Ominous Sign for Russia",https://www.nytimes.com/2022/03/11/us/politics/ukraine-military-drones-russia.html,2022-03-11,U.S.,2022-03-11 17:22:19+00:00
Ukrainian officials try to build pressure to hold Russia accountable for war crimes.,https://www.nytimes.com/2022/09/19/world/europe/ukrainian-officials-try-to-build-public-support-for-the-prosecution-of-war-crimes.html,2022-09-19,World,2022-09-19 05:04:47+00:00
Ukraine Gets ‘Tank Killers’,https://www.nytimes.com/2023/01/06/briefing/russia-ukraine-war-tanks.html,2023-01-06,Briefing,2023-01-06 22:09:14+00:00
Ukraine’s Heavy Losses,https://www.nytimes.com/2022/06/01/briefing/russia-ukraine-war-military-morale-east-nuclear.html,2022-06-01,Briefing,2022-06-01 20:58:04+00:00
Wagner Uprising Highlights China’s Risks With Russia,https://www.nytimes.com/2023/07/01/world/asia/wagner-uprising-china-russia.html,2023-07-01,World,2023-07-01 09:01:40+00:00
New Russian Land Mine Poses Special Risk in Ukraine,https://www.nytimes.com/2022/04/06/us/politics/russia-ukraine-land-mines.html,2022-04-06,U.S.,2022-04-06 18:12:38+00:00
Russia Bombards Ukraine Port After Bridge Attack and Grain Deal Collapse,https://www.nytimes.com/2023/07/18/world/europe/russia-barrage-odesa-grain-bridge.html,2023-07-18,World,2023-07-18 23:00:12+00:00
A Russian rock singer was charged after condemning the Ukraine war at a concert.,https://www.nytimes.com/2022/05/19/world/europe/russian-rock-musician-charged.html,2022-05-20,World,2022-05-20 00:23:00+00:00
Russia Begins Mobilizing Ukrainians to Fight Against Their Own Country,https://www.nytimes.com/2022/09/25/world/europe/russia-ukraine-forces-referendum.html,2022-09-25,World,2022-09-25 21:14:33+00:00
"The U.S. accuses Russia of war crimes, alleging hundreds of thousands of Ukrainian deportations.",https://www.nytimes.com/2022/07/14/world/us-russia-ukrainian-deportations.html,2022-07-14,World,2022-07-14 02:11:13+00:00
"After a Fumbled Start, Russian Forces Hit Harder in Ukraine",https://www.nytimes.com/2022/02/28/world/europe/russia-ukraine-military.html,2022-02-28,World,2022-02-28 21:11:00+00:00
Fears Are Mounting That Ukraine War Will Spill Across Borders,https://www.nytimes.com/2022/04/27/us/politics/ukraine-war-expansion.html,2022-04-27,U.S.,2022-04-27 23:33:14+00:00
Ukraine’s Top Commander Says War Has Hit a ‘Stalemate’,https://www.nytimes.com/2023/11/02/world/europe/ukraine-zaluzhny-war.html,2023-11-02,World,2023-11-02 13:07:48+00:00
Ukrainian Troops Dig In,https://www.nytimes.com/2022/04/22/briefing/russia-ukraine-war-trenches-hack.html,2022-04-22,Briefing,2022-04-22 20:48:29+00:00
Ukraine Says It’s on the Attack,https://www.nytimes.com/2022/08/29/briefing/russia-ukraine-war-offensive-vindman.html,2022-08-29,Briefing,2022-08-29 21:43:18+00:00
Russia Steps Up Efforts to Lure Wagner Veterans Back Into Ukraine War,https://www.nytimes.com/2023/11/09/world/europe/russia-wagner-fighters.html,2023-11-09,World,2023-11-09 05:01:18+00:00
"As War Rages On, a Museum of Russian Art Stands Up for Ukraine",https://www.nytimes.com/2023/10/18/arts/design/museum-of-russian-art-ukraine-war.html,2023-10-18,Arts,2023-10-18 09:00:33+00:00
Russia Traffics in Ukrainian Children,https://www.nytimes.com/2022/11/23/opinion/russia-ukraine-children.html,2022-11-24,Opinion,2022-11-24 00:00:08+00:00
Russia’s Assault in Ukraine Slows After an Aggressive Start,https://www.nytimes.com/2022/02/25/us/politics/russia-attacks-ukraine.html,2022-02-25,U.S.,2022-02-25 23:52:37+00:00
Five Places Russia Is Fighting to Break Through Ukrainian Lines,https://www.nytimes.com/2024/02/17/world/europe/russia-ukraine-war-map.html,2024-02-17,World,2024-02-17 17:32:10+00:00
"At Cliburn Competition, Pianists From South Korea, Russia and Ukraine Triumph",https://www.nytimes.com/2022/06/19/arts/music/cliburn-pianists-south-korea-russia-ukraine.html,2022-06-19,Arts,2022-06-19 14:35:08+00:00
What Does Russia’s Success in Bakhmut Mean for the War in Ukraine?,https://www.nytimes.com/2023/05/25/world/europe/bakhmut-ukraine-russia-war.html,2023-05-25,World,2023-05-25 09:16:09+00:00
‘The deal should help us breathe’: Africa welcomes Russia-Ukraine grain deal.,https://www.nytimes.com/2022/07/23/world/europe/the-deal-should-help-us-breathe-africa-welcomes-russia-ukraine-grain-deal.html,2022-07-22,World,2022-07-22 19:53:37+00:00
Justice Dept. Embraces Supporting Role in Pursuing War Crimes in Ukraine,https://www.nytimes.com/2023/03/21/us/politics/ukraine-russia-war-crimes-justice-dept.html,2023-03-21,U.S.,2023-03-21 15:01:42+00:00
"Front Line Shifts in Russia’s and Ukraine’s Battle for Bakhmut, Analysts Say",https://www.nytimes.com/2023/03/11/world/europe/russia-ukraine-war-bakhmut.html,2023-03-11,World,2023-03-11 10:43:44+00:00
Ukraine’s Training Problem,https://www.nytimes.com/2022/06/06/briefing/russia-ukraine-war-us-britain-weapons-monastery.html,2022-06-06,Briefing,2022-06-06 21:28:05+00:00
Ukraine Puts Putin’s Playbook to the Test,https://www.nytimes.com/2022/03/24/podcasts/the-daily/russia-ukraine-war-chechnya.html,2022-03-24,Podcasts,2022-03-24 10:00:10+00:00
Russian and Ukrainian Pianists Meet in Texas at Cliburn Competition,https://www.nytimes.com/2022/06/07/arts/music/cliburn-piano-competition-texas-ukraine-war.html,2022-06-07,Arts,2022-06-07 16:58:38+00:00
Ukraine’s Stark Choice,https://www.nytimes.com/2022/06/07/briefing/russia-ukraine-war-donbas-military-lviv.html,2022-06-07,Briefing,2022-06-07 21:11:47+00:00
Russia Takes Its Ukraine Information War Into Video Games,https://www.nytimes.com/2023/07/30/technology/russia-propaganda-video-games.html,2023-07-30,Technology,2023-07-30 09:00:34+00:00
Ukraine Targets Crimea,https://www.nytimes.com/2022/08/16/briefing/russia-ukraine-war-crimea-diamonds.html,2022-08-16,Briefing,2022-08-16 20:23:04+00:00
From the Workshop to the War: Creative Use of Drones Lifts Ukraine,https://www.nytimes.com/2022/08/10/world/europe/ukraine-drones.html,2022-08-10,World,2022-08-10 04:01:12+00:00
Ukraine Strikes 2 Bridges Connected to Russian-Occupied Crimea,https://www.nytimes.com/2023/08/06/world/europe/ukraine-war-expands-beyond-battlefields.html,2023-08-06,World,2023-08-06 08:01:51+00:00
"Russia Strikes Another Grain Terminal, Extending a Campaign Against Ukraine’s Ports",https://www.nytimes.com/2023/07/29/world/europe/russia-ukraine-war-grain.html,2023-07-29,World,2023-07-29 10:28:28+00:00
Russia Says It Thwarted Another Ukrainian Attack on Crimea Bridge,https://www.nytimes.com/2023/09/02/world/europe/russia-ukraine-kerch-strait-bridge.html,2023-09-02,World,2023-09-02 09:57:33+00:00
Momentum in Ukraine Is Shifting in Russia’s Favor,https://www.nytimes.com/2022/06/11/world/europe/russia-momentum-ukraine.html,2022-06-11,World,2022-06-11 21:51:31+00:00
Video Reveals How Russian Mercenaries Recruit Inmates for Ukraine War,https://www.nytimes.com/2022/09/16/world/europe/russia-wagner-ukraine-video.html,2022-09-16,World,2022-09-16 19:23:33+00:00
"‘We Are on Our Side’: Across Asia, a Mixed Reaction to Ukraine War",https://www.nytimes.com/2022/03/02/world/asia/asia-russia-ukraine-war.html,2022-03-02,World,2022-03-02 13:50:14+00:00
"On Muted War Holiday, Putin Tries to Justify Invasion of Ukraine",https://www.nytimes.com/2023/05/09/world/europe/russia-ukraine-victory-day-putin.html,2023-05-09,World,2023-05-09 20:54:08+00:00
"China Asked Russia to Delay Ukraine War Until After Olympics, U.S. Officials Say",https://www.nytimes.com/2022/03/02/us/politics/russia-ukraine-china.html,2022-03-02,U.S.,2022-03-02 19:09:41+00:00
Are We Sure America Is Not at War in Ukraine?,https://www.nytimes.com/2022/06/20/opinion/international-world/ukraine-war-america.html,2022-06-20,Opinion,2022-06-20 09:13:09+00:00
Are We Sure America Is Not at War in Ukraine?,https://www.nytimes.com/2022/06/20/opinion/international-world/ukraine-war-america.html,2022-06-20,Opinion,2022-06-20 09:13:09+00:00
Pope Francis compares Russia’s war against Ukraine to a devastating Stalin-era famine.,https://www.nytimes.com/2022/11/23/world/europe/pope-francis-russia-ukraine-stalin-famine.html,2022-11-23,World,2022-11-23 22:54:39+00:00
A Million Have Fled Ukraine,https://www.nytimes.com/2022/03/03/briefing/russia-ukraine-war-briefing.html,2022-03-03,Briefing,2022-03-03 23:30:53+00:00
Russia and Ukraine Have Long Been This Filmmaker’s Subject,https://www.nytimes.com/2022/04/01/movies/sergei-loznitsa-russia-ukraine.html,2022-04-01,Movies,2022-04-01 19:49:31+00:00
A Year of War in Ukraine,https://www.nytimes.com/2023/02/24/podcasts/the-daily/ukraine-russia-war-anniversary.html,2023-02-24,Podcasts,2023-02-24 11:00:14+00:00
TikTok Is Gripped by the Violence and Misinformation of Ukraine War,https://www.nytimes.com/2022/03/05/technology/tiktok-ukraine-misinformation.html,2022-03-05,Technology,2022-03-05 10:00:19+00:00
"Russian Troops Cede Ground and Strike Back, Frustrating Ukraine’s Counteroffensive",https://www.nytimes.com/2023/10/03/world/europe/russia-ukraine-elastic-defense-counteroffensive.html,2023-10-03,World,2023-10-03 10:01:17+00:00
U.N. experts find that war crimes have been committed in Ukraine.,https://www.nytimes.com/2022/09/23/world/europe/russia-ukraine-war-crimes-united-nations.html,2022-09-23,World,2022-09-23 10:59:52+00:00
Sea Drone Attack on Russian Fleet Puts Focus on Expanded Ukrainian Arms,https://www.nytimes.com/2022/10/31/us/politics/russia-ukraine-ships-drones.html,2022-10-31,U.S.,2022-10-31 20:07:37+00:00
Hate for Putin’s Russia Consumes Ukraine,https://www.nytimes.com/2022/03/07/world/europe/ukraine-putin-hate.html,2022-03-07,World,2022-03-07 14:38:30+00:00
Ukraine Builds a Case That Killing of P.O.W.s Was a Russian War Crime,https://www.nytimes.com/2022/08/03/world/europe/russia-ukraine-prisoners-killed.html,2022-08-03,World,2022-08-03 20:58:54+00:00
Winter Cold Becomes a Weapon in Ukraine,https://www.nytimes.com/2022/11/23/briefing/russia-ukraine-war-humanitarian-crisis.html,2022-11-23,Briefing,2022-11-23 21:43:59+00:00
What I Learned in Ukraine,https://www.nytimes.com/2023/07/23/opinion/ukraine-war-russia.html,2023-07-23,Opinion,2023-07-23 10:00:09+00:00
"Russia Is Using Old Ukrainian Missiles Against Ukraine, General Says",https://www.nytimes.com/2022/12/12/world/europe/russia-ukraine-missiles.html,2022-12-12,World,2022-12-12 10:00:23+00:00
Syrian Mercenaries Deploy to Russia en Route to Ukrainian Battlefields,https://www.nytimes.com/2022/03/31/world/middleeast/syrian-mercenaries-ukraine-russia.html,2022-03-31,World,2022-03-31 20:19:20+00:00
"Aleksandr Dugin, a chief promoter of Russia’s war in Ukraine, is sometimes called ‘Putin’s philosopher.’",https://www.nytimes.com/2022/08/21/world/europe/who-is-aleksandr-dugin.html,2022-08-21,World,2022-08-21 09:49:09+00:00
Russia’s Latest Disinformation Tactic Exploits American Celebrities,https://www.nytimes.com/2023/12/07/technology/russia-disinformation-mike-tyson-priscilla-presley.html,2023-12-07,Technology,2023-12-07 05:02:00+00:00
‘He Is a Child of War’: Giving Birth Amid Chaos in Ukraine,https://www.nytimes.com/2022/04/07/world/europe/ukraine-mothers-birth.html,2022-04-07,World,2022-04-07 19:35:39+00:00
U.S. Weighs Russian Oil Ban as Gas Prices Surge and Ukraine War Grows,https://www.nytimes.com/2022/03/07/us/politics/biden-russia-oil-ban.html,2022-03-07,U.S.,2022-03-07 22:46:35+00:00
Corruption in Ukraine,https://www.nytimes.com/2022/07/01/briefing/russia-ukraine-war-corruption-yovanovitch-odessa.html,2022-07-01,Briefing,2022-07-01 19:54:16+00:00
The Children’s Rights Advocate Accused of Russian War Crimes,https://www.nytimes.com/2023/04/02/world/europe/maria-lvova-belova-russia.html,2023-04-02,World,2023-04-02 09:00:14+00:00
A Ukrainian appeals court reduces the life sentence of a Russian soldier tried for war crimes.,https://www.nytimes.com/2022/07/29/world/europe/a-ukrainian-appeals-court-reduces-the-life-sentence-of-a-russian-soldier-tried-for-war-crimes.html,2022-07-29,World,2022-07-29 20:54:48+00:00
"As Ukraine Makes Gains, Mykolaiv Bears Fierce Russian Attacks",https://www.nytimes.com/2022/11/11/world/europe/ukraine-mykolaiv-russia-bombing.html,2022-11-11,World,2022-11-11 16:48:25+00:00
"Rattled by Ukraine War, Moldova Strives to Dodge Russia’s Long Shadow",https://www.nytimes.com/2022/04/23/world/europe/moldova-ukraine-russia.html,2022-04-23,World,2022-04-23 07:00:15+00:00
Clarissa Ward: ‘Fear and Panic Are Bedfellows’ in Ukraine,https://www.nytimes.com/2022/05/09/opinion/sway-kara-swisher-clarissa-ward.html,2022-05-09,Opinion,2022-05-09 09:00:07+00:00
Ukraine War Pushes Germans to Change. They Are Wavering.,https://www.nytimes.com/2022/04/12/world/europe/germany-russia-ukraine-war.html,2022-04-12,World,2022-04-12 14:23:20+00:00
The deadly Russian missile strike adds urgency to an international conference on war crimes in Ukraine.,https://www.nytimes.com/2022/07/15/world/europe/a-deadly-russian-missile-strike-adds-urgency-to-an-international-conference-on-war-crimes-in-ukraine.html,2022-07-14,World,2022-07-14 19:12:18+00:00
"What Is NATO, and How Has the War in Ukraine Changed It?",https://www.nytimes.com/article/what-is-nato.html,2022-03-06,World,2022-03-06 20:07:40+00:00
Ukrainians Flee as Russian Invasion Intensifies,https://www.nytimes.com/video/world/europe/100000008229299/ukraine-war-border.html,2022-02-26,World,2022-02-26 05:47:00+00:00
Diplomats Fear Russia May Use Syrian Aid as Bargaining Chip in Ukraine,https://www.nytimes.com/2022/05/28/us/politics/russia-syria-aid-refugees.html,2022-05-28,U.S.,2022-05-28 14:16:37+00:00
‘Putin Chose This War’: Biden Denounces Russia’s Actions in Ukraine,https://www.nytimes.com/2022/02/24/us/politics/biden-putin-sanctions-ukraine.html,2022-02-25,U.S.,2022-02-25 00:34:02+00:00
A history of the tensions between Ukraine and Russia.,https://www.nytimes.com/2022/03/26/world/europe/ukraine-russia-tensions-timeline.html,2022-03-26,World,2022-03-26 19:00:06+00:00
Impunity for War Crimes in Syria Casts a Grim Shadow Over Ukraine,https://www.nytimes.com/2022/03/15/world/middleeast/syria-ukraine-invasion-russia.html,2022-03-15,World,2022-03-15 09:00:22+00:00
Russia Hits Ukraine’s Power Infrastructure With Some of the Biggest Strikes in Recent Weeks,https://www.nytimes.com/2022/10/22/world/europe/russia-ukraine-war-strikes.html,2022-10-22,World,2022-10-22 07:36:39+00:00
Russia Hits Ukraine’s Power Infrastructure With Some of the Biggest Strikes in Recent Weeks,https://www.nytimes.com/2022/10/22/world/europe/russia-ukraine-war-strikes.html,2022-10-22,World,2022-10-22 07:36:39+00:00
Putin and Xi Celebrate Ties Unbroken by Russia’s War in Ukraine,https://www.nytimes.com/2023/03/20/world/europe/putin-xi-russia-china.html,2023-03-20,World,2023-03-20 22:31:14+00:00
2022: The Year of Ukraine,https://www.nytimes.com/2022/12/16/briefing/ukraine-russia-war-yearend.html,2022-12-16,Briefing,2022-12-16 21:02:21+00:00
"100 Days of War: Death, Destruction and Loss",https://www.nytimes.com/2022/06/03/world/europe/russia-ukraine-war-100-days.html,2022-06-03,World,2022-06-03 20:56:36+00:00
How India Profits From Its Neutrality in the Ukraine War,https://www.nytimes.com/interactive/2023/06/22/business/india-russia-oil.html,2023-06-22,Business Day,2023-06-22 04:15:52+00:00
Now Fighting for Ukraine: Volunteers Seeking Revenge Against Russia,https://www.nytimes.com/2023/01/08/world/europe/ukraine-russia-volunteers-chechens-tatars.html,2023-01-08,World,2023-01-08 10:00:21+00:00
